time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,610410;0,0743;-0,0364;-0,1326;0,156
0,617106;0,0085;-0,0021;-0,1016;0,102
0,622095;-0,1139;0,0533;-0,1300;0,181
0,626537;-0,1974;0,0892;-0,0848;0,233
0,630492;-0,2142;0,1226;-0,0971;0,265
0,636657;-0,1956;0,1463;-0,1000;0,264
0,641750;-0,2060;0,1699;-0,0771;0,278
0,646598;-0,2497;0,1388;-0,1045;0,304
0,650299;-0,2341;0,1366;-0,0942;0,287
0,656841;-0,2072;0,0752;-0,0841;0,236
0,660187;-0,1475;0,0405;-0,0601;0,164
0,667348;-0,0957;0,0014;-0,0435;0,105
0,670079;-0,0824;-0,0326;-0,0106;0,089
0,676796;-0,0336;-0,0356;-0,0585;0,076
0,692898;0,0172;-0,0504;-0,0917;0,106
0,694950;0,0228;-0,0412;-0,1295;0,138
0,695667;0,0452;0,0107;-0,1720;0,178
0,696300;0,0820;0,0076;-0,1690;0,188
0,714076;0,0523;0,0546;-0,1853;0,200
0,715557;-0,1432;0,1250;-0,2041;0,279
0,716132;-0,3232;0,1926;-0,1471;0,404
0,716585;-0,2771;0,2145;-0,0362;0,352
0,719358;-0,1585;0,1627;0,0714;0,238
0,725500;-0,0865;0,0732;0,1615;0,197
0,730358;-0,0414;-0,0321;0,1440;0,153
0,734589;-0,0109;-0,0916;0,1008;0,137
0,741235;0,0384;-0,1246;0,0368;0,135
0,747065;0,0165;-0,1455;-0,0002;0,146
0,749374;0,0544;-0,1450;0,0202;0,156
0,754211;0,0757;-0,1303;-0,0234;0,152
0,759722;0,0258;-0,0635;-0,0735;0,101
0,776890;-0,0094;-0,0567;-0,0877;0,105
0,778604;-0,0304;0,0236;-0,0993;0,107
0,779218;-0,0130;0,0560;-0,1587;0,169
0,780614;-0,0006;0,0717;-0,1372;0,155
0,785695;0,0165;0,0518;-0,1117;0,124
0,789408;0,0456;0,1155;-0,1011;0,160
0,794608;-0,0013;0,0932;-0,0244;0,096
0,801486;-0,0217;0,0736;-0,0316;0,083
0,805569;0,0082;0,0544;0,0109;0,056
0,809479;0,0498;0,0780;0,0363;0,099
0,814395;0,0058;0,0636;0,0401;0,075
0,821392;-0,0284;0,0872;0,0178;0,093
0,824838;-0,0194;0,1035;0,0051;0,105
0,831511;-0,0771;0,1458;-0,0051;0,165
0,834478;-0,1321;0,1758;-0,0412;0,224
0,841141;-0,1442;0,1793;-0,0769;0,243
0,848900;-0,1351;0,1472;-0,1002;0,224
0,850923;-0,1097;0,1175;-0,0972;0,188
0,853825;-0,0777;0,0692;-0,0561;0,118
0,860580;-0,0412;0,0093;-0,0320;0,053
0,864555;0,0094;-0,0501;-0,0554;0,075
0,870014;0,0407;-0,1114;-0,0313;0,123
0,874522;0,0506;-0,1460;0,0616;0,166
0,883688;0,0677;-0,1780;0,0611;0,200
0,885089;0,0302;-0,2026;0,0772;0,219
0,888321;0,0168;-0,1770;0,0766;0,194
0,893626;-0,0178;-0,1588;0,0710;0,175
0,901540;0,0002;-0,1216;0,0891;0,151
0,906113;-0,0199;-0,0919;0,0430;0,103
0,909228;-0,0254;-0,0672;0,0497;0,087
0,915525;-0,0758;-0,0047;0,0206;0,079
0,918721;-0,0879;0,0525;-0,0107;0,103
0,925892;-0,1095;0,0736;-0,0462;0,140
0,929455;-0,1356;0,0920;0,0017;0,164
0,934141;-0,1050;0,1221;-0,0123;0,161
0,940880;-0,1223;0,1138;-0,0046;0,167
0,945384;-0,1253;0,1101;0,0010;0,167
0,949579;-0,1427;0,0589;-0,0170;0,155
0,953344;-0,0936;0,0034;-0,0490;0,106
0,959700;-0,1208;-0,0470;-0,0832;0,154
0,965902;-0,0765;-0,0850;-0,1172;0,164
0,968277;-0,0966;-0,1224;-0,0896;0,180
0,973108;-0,0573;-0,1096;-0,0696;0,142
0,984081;0,0078;-0,0754;-0,0168;0,078
