time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0.607864;-0.0045;0.1248;-0.1469;0.193
0.613656;-0.0706;0.0093;-0.1107;0.132
0.618650;-0.1072;-0.0908;-0.0468;0.148
0.623590;-0.1477;-0.1567;0.0258;0.217
0.628893;-0.1831;-0.1888;0.0644;0.271
0.633959;-0.2136;-0.1635;0.1166;0.293
0.638240;-0.2204;-0.1101;0.1163;0.272
0.643840;-0.2040;-0.0429;0.0401;0.212
0.649860;-0.1695;-0.0380;0.0308;0.176
0.653766;-0.1453;0.0048;0.0071;0.146
0.657837;-0.1409;-0.0809;0.1163;0.200
0.664189;-0.1322;-0.1136;0.1295;0.217
0.667965;-0.0954;-0.1747;0.0999;0.223
0.673662;-0.1210;-0.1402;0.0941;0.208
0.679020;-0.0895;-0.1487;0.0739;0.189
0.696366;-0.0249;-0.1238;0.0110;0.127
0.698523;0.0207;-0.1560;0.0103;0.158
0.699210;0.0145;-0.2021;0.0570;0.210
0.699798;-0.0141;-0.1955;0.0892;0.215
0.703519;-0.0509;-0.1746;0.1642;0.245
0.710033;-0.0483;-0.0970;0.1391;0.176
0.712894;-0.0877;-0.0389;0.0905;0.132
0.718790;-0.0930;-0.0002;0.0802;0.123
0.723330;-0.1265;-0.0044;0.0838;0.152
0.727077;-0.1503;0.0059;0.0918;0.176
0.743274;-0.1885;0.0493;0.0709;0.207
0.745790;-0.1464;0.0686;0.0737;0.178
0.746920;-0.1532;0.0023;0.0573;0.164
0.748713;-0.1371;0.0361;0.0316;0.145
0.755631;-0.1078;0.0220;0.0393;0.117
0.756928;-0.1321;-0.0017;0.1139;0.174
0.763332;-0.0953;-0.0159;0.1501;0.179
0.776901;-0.0497;0.0314;0.1392;0.151
0.778278;-0.0383;0.0544;0.1099;0.128
0.778934;-0.0370;-0.0035;0.0950;0.102
0.783124;0.0635;-0.2462;0.2702;0.371
0.786736;0.2257;-0.1125;0.2704;0.370
0.793205;0.3029;0.0340;0.0731;0.313
0.797567;0.1626;0.0747;0.1536;0.236
0.802806;0.0905;0.0958;0.2200;0.256
0.807297;0.1476;0.0976;0.1582;0.237
0.812116;0.2234;0.0851;0.1018;0.260
0.816134;0.2366;0.1486;0.0986;0.296
0.822092;0.2161;0.1830;0.1191;0.307
0.827361;0.2570;0.2692;0.0827;0.381
0.833148;0.2641;0.3118;0.0847;0.417
0.837163;0.2660;0.2877;0.1200;0.410
