time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0.614570;-0.2915;0.2415;-0.0132;0.379
0.615048;0.0834;-0.0155;-0.0519;0.099
0.619583;0.2326;-0.0588;-0.1476;0.282
0.625048;0.0603;0.0241;-0.1742;0.186
0.629762;-0.0106;0.0875;-0.1584;0.181
0.633715;-0.0477;0.1410;-0.1767;0.231
0.638747;-0.0729;0.2155;-0.1907;0.297
0.645023;-0.0197;0.2111;-0.2195;0.305
0.648412;0.0474;0.2449;-0.2202;0.333
0.653200;0.0406;0.2215;-0.2239;0.318
0.658586;0.0123;0.2721;-0.2473;0.368
0.663882;-0.0039;0.3009;-0.1831;0.352
0.669762;0.0086;0.2774;-0.1580;0.319
0.672966;0.0565;0.3087;-0.0739;0.322
0.679486;0.0614;0.2922;-0.0216;0.299
0.685067;0.0614;0.2973;0.0494;0.308
0.689964;0.0566;0.2762;0.0654;0.289
0.694055;0.1042;0.2695;0.1622;0.331
0.698558;0.0803;0.2010;0.2017;0.296
0.705415;0.0875;0.1828;0.2747;0.341
0.709715;0.0973;0.1601;0.3356;0.384
0.715093;0.0738;0.1564;0.3277;0.371
0.718055;0.0814;0.0814;0.3299;0.349
0.724679;0.0679;0.0474;0.3180;0.329
0.730316;0.0855;0.0137;0.2494;0.264
0.732610;0.0223;0.0065;0.2406;0.242
0.737726;0.0025;-0.0363;0.2200;0.223
0.744113;-0.0075;-0.0526;0.1781;0.186
0.749706;0.0207;-0.0522;0.2006;0.208
0.753903;0.0297;-0.0802;0.1824;0.201
0.758684;0.0770;-0.0794;0.2119;0.239
0.764597;0.0645;-0.0715;0.2103;0.231
0.767354;0.0524;-0.0945;0.2277;0.252
0.774487;0.0167;-0.0603;0.2187;0.227
0.777194;0.0101;-0.0573;0.1980;0.206
0.783749;-0.0536;0.0147;0.2106;0.218
0.796288;-0.0314;0.0503;0.1946;0.203
0.797621;0.0097;0.0383;0.1976;0.201
0.798055;0.0028;0.0310;0.1624;0.165
0.803905;-0.0113;0.0120;0.1868;0.188
0.808584;0.0009;0.0407;0.1705;0.175
0.814210;0.0105;0.0264;0.1564;0.159
0.817400;0.0247;0.0217;0.1423;0.146
0.823710;0.0151;0.0267;0.1187;0.123
0.828864;0.0649;-0.0041;0.1665;0.179
0.833600;0.0216;0.0651;0.1951;0.207
0.837590;-0.0430;0.0577;0.1926;0.206
0.844906;0.1637;0.0076;0.2189;0.274
0.848221;0.1980;0.0315;0.2359;0.310
0.854832;0.2156;-0.0398;0.3031;0.374
0.857075;0.1308;0.0461;0.2393;0.277
0.862528;0.0844;0.0433;0.2120;0.232
0.867987;0.1427;0.0406;0.2253;0.270
0.873130;0.2980;0.0474;0.2361;0.383
0.876531;0.2955;0.0565;0.2256;0.376
0.883341;0.3526;0.0489;0.2177;0.417
